PartitionKey,RowKey,DeviceId,DeviceId@type,EventEnqueuedUtcTime,EventEnqueuedUtcTime@type,EventProcessedUtcTime,Latency,EventProcessedUtcTime@type,Humidity,Humidity@type,IoTHub,IoTHub@type,Light,Light@type,PartitionId,PartitionId@type,Sound,Sound@type,Temperature,Temperature@type,Gas,Gas@type,,Time,average delay,max delay,min delay
MT3620,2019-06-28T02:37:35.0240000Z,MT3620,Edm.String,2019-06-28T02:37:35.024Z,Edm.DateTime,2019-06-28T02:37:35.133Z,0.109,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,434,Edm.Int64,25,Edm.Int64,350,Edm.Int64,,,,,
MT3620,2019-06-28T02:38:06.3840000Z,MT3620,Edm.String,2019-06-28T02:38:06.384Z,Edm.DateTime,2019-06-28T02:38:06.437Z,0.053,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,419,Edm.Int64,25,Edm.Int64,345,Edm.Int64,,,,,
MT3620,2019-06-28T02:38:37.7540000Z,MT3620,Edm.String,2019-06-28T02:38:37.754Z,Edm.DateTime,2019-06-28T02:38:37.876Z,0.122,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,455,Edm.Int64,25,Edm.Int64,356,Edm.Int64,,,,,
MT3620,2019-06-28T02:39:09.0560000Z,MT3620,Edm.String,2019-06-28T02:39:09.056Z,Edm.DateTime,2019-06-28T02:39:09.171Z,0.115,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,369,Edm.Int64,25,Edm.Int64,321,Edm.Int64,,,,,
MT3620,2019-06-28T02:39:40.5170000Z,MT3620,Edm.String,2019-06-28T02:39:40.517Z,Edm.DateTime,2019-06-28T02:39:40.587Z,0.07,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,372,Edm.Int64,25,Edm.Int64,336,Edm.Int64,,,,,
MT3620,2019-06-28T02:40:12.6340000Z,MT3620,Edm.String,2019-06-28T02:40:12.634Z,Edm.DateTime,2019-06-28T02:40:12.686Z,0.052,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,427,Edm.Int64,25,Edm.Int64,348,Edm.Int64,,,,,
MT3620,2019-06-28T02:40:44.0190000Z,MT3620,Edm.String,2019-06-28T02:40:44.019Z,Edm.DateTime,2019-06-28T02:40:44.115Z,0.096,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,491,Edm.Int64,25,Edm.Int64,392,Edm.Int64,,,,,
MT3620,2019-06-28T02:41:15.6610000Z,MT3620,Edm.String,2019-06-28T02:41:15.661Z,Edm.DateTime,2019-06-28T02:41:15.757Z,0.096,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,450,Edm.Int64,25,Edm.Int64,371,Edm.Int64,,,,,
MT3620,2019-06-28T02:41:46.9460000Z,MT3620,Edm.String,2019-06-28T02:41:46.946Z,Edm.DateTime,2019-06-28T02:41:47.004Z,0.058,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,461,Edm.Int64,25,Edm.Int64,372,Edm.Int64,,,,,
MT3620,2019-06-28T02:42:18.3660000Z,MT3620,Edm.String,2019-06-28T02:42:18.366Z,Edm.DateTime,2019-06-28T02:42:18.465Z,0.099,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,411,Edm.Int64,25,Edm.Int64,347,Edm.Int64,,,,,
MT3620,2019-06-28T02:42:50.0250000Z,MT3620,Edm.String,2019-06-28T02:42:50.025Z,Edm.DateTime,2019-06-28T02:42:50.106Z,0.081,Edm.DateTime,57,Edm.Int64,Record,Edm.String,752,Edm.Int64,0,Edm.Int64,382,Edm.Int64,25,Edm.Int64,330,Edm.Int64,,,,,
MT3620,2019-06-28T02:43:21.2950000Z,MT3620,Edm.String,2019-06-28T02:43:21.295Z,Edm.DateTime,2019-06-28T02:43:21.324Z,0.029,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,419,Edm.Int64,25,Edm.Int64,346,Edm.Int64,,,,,
MT3620,2019-06-28T02:43:52.8400000Z,MT3620,Edm.String,2019-06-28T02:43:52.840Z,Edm.DateTime,2019-06-28T02:43:52.916Z,0.076,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,449,Edm.Int64,25,Edm.Int64,361,Edm.Int64,,,,,
MT3620,2019-06-28T02:44:24.2600000Z,MT3620,Edm.String,2019-06-28T02:44:24.260Z,Edm.DateTime,2019-06-28T02:44:24.306Z,0.046,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,451,Edm.Int64,25,Edm.Int64,359,Edm.Int64,,,,,
MT3620,2019-06-28T02:44:55.8210000Z,MT3620,Edm.String,2019-06-28T02:44:55.821Z,Edm.DateTime,2019-06-28T02:44:55.887Z,0.066,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,461,Edm.Int64,25,Edm.Int64,355,Edm.Int64,,,,,
MT3620,2019-06-28T02:45:27.0990000Z,MT3620,Edm.String,2019-06-28T02:45:27.099Z,Edm.DateTime,2019-06-28T02:45:27.171Z,0.072,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,494,Edm.Int64,25,Edm.Int64,383,Edm.Int64,,,,,
MT3620,2019-06-28T02:45:58.6580000Z,MT3620,Edm.String,2019-06-28T02:45:58.658Z,Edm.DateTime,2019-06-28T02:45:58.769Z,0.111,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,484,Edm.Int64,25,Edm.Int64,369,Edm.Int64,,,,,
MT3620,2019-06-28T02:46:30.1080000Z,MT3620,Edm.String,2019-06-28T02:46:30.108Z,Edm.DateTime,2019-06-28T02:46:30.202Z,0.094,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,430,Edm.Int64,25,Edm.Int64,361,Edm.Int64,,,,,
